,industries,link
0,Professional Training & Coaching,/company/294614/
1,Information Technology and Services,/company/220337/
2,Hospital & Health Care,/company/644531/
3,Information Technology and Services,/company/1905/
4,Information Technology and Services,/company/1283488/
5,Staffing and Recruiting,/company/14724/
6,Information Technology and Services,/company/69352/
7,Information Technology and Services,/company/8185/
8,Information Technology and Services,/company/63679/
9,Information Technology and Services,/company/13305342/
10,Professional Training & Coaching,/company/294614/
11,Information Technology and Services,/company/220337/
12,Hospital & Health Care,/company/644531/
13,Information Technology and Services,/company/1905/
14,Information Technology and Services,/company/1283488/
15,Staffing and Recruiting,/company/14724/
16,Information Technology and Services,/company/69352/
17,Information Technology and Services,/company/8185/
18,Information Technology and Services,/company/63679/
19,Information Technology and Services,/company/13305342/
20,Information Technology and Services,/company/6082/
21,Information Technology and Services,/company/79958/
22,Information Technology and Services,/company/907719/
23,Information Technology and Services,/company/2338293/
24,Information Technology and Services,/company/505044/
25,Information Technology and Services,/company/2560495/
26,Telecommunications,/company/118142/
27,Higher Education,/company/362624/
28,Information Technology and Services,/company/497317/
29,Higher Education,/company/2449545/
30,Education Management,/company/800493/
31,Research,/company/661442/
32,Information Technology and Services,/company/2825653/
33,Information Technology and Services,/company/50129/
34,Higher Education,/company/15103802/
35,Information Technology and Services,/company/826492/
36,Computer Software,/company/23449/
37,Computer Software,/company/224974/
38,Information Technology and Services,/company/403017/
39,Government Administration,/company/472363/
40,Nonprofit Organization Management,/company/77584/
41,Higher Education,/company/15135546/
42,Higher Education,/company/15113455/
43,Research,/company/388053/
44,Higher Education,/company/15249283/
45,Higher Education,/company/49275/
46,Higher Education,/company/15098178/
47,Information Technology and Services,/company/1103/
48,Information Technology and Services,/company/1009/
49,Information Technology and Services,/company/1094/
50,Defense & Space,/company/1319/
51,Hospital & Health Care,/company/1900/
52,Hospital & Health Care,/company/1720/
53,Mechanical or Industrial Engineering,/company/2247/
54,Construction,/company/4025/
55,Media Production,/company/1703/
56,Computer Networking,/company/1063/
57,Airlines/Aviation,/company/2380/
58,Defense & Space,/company/1412/
59,Airlines/Aviation,/company/2272/
60,Sporting Goods,/company/2029/
61,Online Media,/company/2284/
62,Consumer Goods,/company/2551/
63,Business Supplies and Equipment,/company/3019/
64,Internet,/company/1481/
65,Information Technology and Services,/company/2699/
66,Information Technology and Services,/company/1467/
67,Automotive,/company/165374/
68,Printing,/company/1373/
69,Chemicals,/company/4156/
70,Transportation/Trucking/Railroad,/company/1670/
71,Machinery,/company/9652/
