,industries,link
0,Information Technology and Services,/company/280583/
1,Staffing and Recruiting,/company/12918/
2,Information Technology and Services,/company/7214/
3,Computer Software,/company/906171/
4,Information Technology and Services,/company/855221/
5,Information Technology and Services,/company/136249/
6,Computer Software,/company/272309/
7,Information Technology and Services,/company/4998691/
8,Information Technology and Services,/company/2577480/
9,Information Technology and Services,/company/510438/
10,Information Technology and Services,/company/624572/
11,Computer Software,/company/2457737/
12,Museums and Institutions,/company/23110/
13,Information Technology and Services,/company/163181/
14,Oil & Energy,/company/686825/
15,Information Technology and Services,/company/38813/
16,Education Management,/company/2292403/
17,Computer Hardware,/company/316056/
18,Computer Networking,/company/100430/
19,Information Technology and Services,/company/10576499/
20,Information Technology and Services,/company/4822742/
21,Information Technology and Services,/company/222790/
22,Information Technology and Services,/company/4861905/
23,Higher Education,/company/1730346/
24,Information Technology and Services,/company/322276/
25,Computer Hardware,/company/2542835/
26,Staffing and Recruiting,/company/136253/
27,Information Technology and Services,/company/2726332/
28,Information Technology and Services,/company/2444396/
29,Information Technology and Services,/company/2219983/
30,Information Technology and Services,/company/3009233/
31,Information Technology and Services,/company/382936/
32,Computer Networking,/company/1063/
33,Computer Hardware,/company/2445009/
34,Information Technology and Services,/company/3574109/
35,Computer Software,/company/2489747/
36,Information Technology and Services,/company/431298/
37,Computer Software,/company/113821/
38,Information Technology and Services,/company/8934/
39,Computer Software,/company/9061896/
40,Marketing and Advertising,/company/28272/
41,Design,/company/163904/
42,Computer Software,/company/2457/
43,Computer Software,/company/3720/
44,Computer Software,/company/4929/
45,Mechanical or Industrial Engineering,/company/3509251/
46,Information Technology and Services,/company/1842564/
47,Information Technology and Services,/company/3268302/
48,E-Learning,/company/401514/
49,Entertainment,/company/5329/
50,Wholesale,/company/62896/
51,Information Technology and Services,/company/5018813/
52,Information Technology and Services,/company/4793120/
53,Consumer Electronics,/company/6229/
54,Education Management,/company/232385/
55,Information Technology and Services,/company/3822505/
56,Computer Software,/company/1218728/
57,Nonprofit Organization Management,/company/853178/
58,Information Technology and Services,/company/962801/
59,Computer Games,/company/17044/
60,Construction,/company/1004608/
61,Information Technology and Services,/company/2089459/
62,Information Technology and Services,/company/1134650/
63,Information Technology and Services,/company/2354992/
64,Biotechnology,/company/7963/
65,Information Technology and Services,/company/10906/
66,Computer Software,/company/20365/
67,Information Technology and Services,/company/4790933/
68,Information Technology and Services,/company/5930/
69,Government Relations,/company/2263211/
70,Information Technology and Services,/company/3538/
